ID,Requirement,Status,Audit disposition
ACT-01,"Consequential external actions use idempotency keys where supported, record preconditions, capture execution receipts, and reconcile post-state before retry; uncertain outcomes halt automatic retry and raise Needs Review.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
APP-01,Application stages are role-based so models and providers can be replaced independently.,Confirmed Phase 1,Audited v1.1: pass
APP-02,"Plans, decisions, tests, reviews, closeouts, Task Packets, Builder Delivery Records, independent verification references, and Rework Packets are durable, versioned repository or artifact records keyed to stable operational-database object IDs. The operational database owns identity and lifecycle state; Git owns artifact content. Repository folders and status labels are non-authoritative projections, never ID allocators or competing state stores, and synchronization status is recorded.","Amended v1.2 — accepted (owner acceptance, trail entry 65)","Amended by CP-v1.2-A Revision 2 (verifier 3.1, adopted verbatim)"
APP-03,Independent review remains separate from the builder.,Confirmed Phase 1,Audited v1.1: pass
APP-04,"Worker sessions can fail, compact, or be replaced without losing the visible topic or operational state.",Confirmed Phase 1,Audited v1.1: pass
APP-05,"Every build assignment is a versioned Task Packet that projects an approved implementation plan and stage-gate context to the Builder; it does not replace either. The packet references the canonical task/topic IDs, parent topic, approved plan/version, accepted requirement and decision IDs, risk class, applicable trust/data classes, authorized action classes, and source/context manifest. It contains the observable user, business, or system objective; verified measured baseline where meaningful or explicit greenfield/current-state rationale; required behavior; applicable failure/concurrency/idempotency/rollback requirements or justified N/A entries; guardrails; telemetry and prohibited logging; verification requirements; checkable acceptance criteria; scope-deviation/escalation rule; and handoff requirements. Post-approval changes require a versioned scope/change event. Before the operational DB exists, a protected atomic bootstrap registry may allocate IDs, with mandatory later alias/migration to DB-minted global IDs.","Accepted v1.2 (owner acceptance, trail entry 65)","Added by CP-v1.2-A Revision 2 (verifier 3.2, adopted verbatim)"
APP-06,"Builder completion requires a Builder Delivery Record naming the task, branch, base and candidate commits, changed files, relevant tool/environment versions, focused/regression/negative-path/browser proofs as applicable, discriminating proof for defect fixes or an approved compensating-evidence rationale, diff/format results, external-write disclosures and receipts, and residual risks. The record is builder-authored review input, not independent evidence; required proofs must be reproduced or independently verified and written to the tamper-evident harness store before approval. A completion claim without the record is not reviewable. For each material acceptance or evidence claim, the Builder Delivery Record identifies plausible evidence that would disconfirm the claim or expose a false-pass condition; a reasoned `N/A` is permitted where no meaningful discriminating test exists. This Builder-authored falsifier is review input only and never replaces independent reproduction or harness evidence.","Accepted v1.2 (owner acceptance, trail entry 65); CP-v1.2-B amendment accepted v1.3 (trail entry 73)","Added by CP-v1.2-A Revision 2 (verifier 3.3, adopted verbatim); Amended by CP-v1.2-B (CPB-14); amendment accepted v1.3 (trail entry 73)"
APP-07,"Findings accepted through the governance disposition process return as versioned Rework Packets naming the finding ID and authority, reviewed candidate, what passed, exact failing behavior and evidence, why existing controls missed it or an N/A rationale, smallest required correction, required new proof, regressions that must remain green, and closure authority. Mechanical-only rework is labeled. Each accepted behavioral, security, permission, or regression defect becomes a durable automated test or deterministic guard where feasible; otherwise it becomes a repeatable check, policy, acceptance criterion, or ADR with rationale. Candidate changes invalidate prior approval for the affected scope and require scoped re-audit.","Accepted v1.2 (owner acceptance, trail entry 65)","Added by CP-v1.2-A Revision 2 (verifier 3.4, adopted verbatim)"
APP-08,"Release-bearing build topics use an optional build-specific `release_state`, separate from the five universal canonical dimensions: Developer-complete, Reviewed, Approved, Merged, Deployed, Live-verified. `Rework-required` is a review disposition and return transition. Each transition records the responsible authority, pinned candidate/base identifiers, evidence reference, timestamp, and action-class authorization; any relevant candidate or target-head change invalidates dependent states through a deterministic reset rule. Non-deployable artifacts use an approved publication profile or Not applicable. Owner-facing renderings never use unqualified ""done,"" and the parent topic is not `work_status: Completed` until terminal release/publication verification and fold-back are complete.","Accepted v1.2 (owner acceptance, trail entry 65)","Added by CP-v1.2-A Revision 2 (verifier 3.5, adopted verbatim)"
APP-09,"Development and production are separate trust boundaries enforced by identities, credentials, protected paths, isolated workspaces, and an independently controlled release path. The Builder has no production mutation or deployment credentials; any scoped read-only production access is separately authorized, masked, and logged. Repository topology — protected branches in one repository, fork/mirror, or separate repositories — is selected by risk and operational need, provided the invariant holds. Each task uses a task-specific branch in every affected repository. Before merge authorization, the approved change is applied to a pinned current target head in a disposable least-privilege environment and applicable focused, regression, negative-path, and browser checks run on the resulting candidate. Candidate tree/commit and deployable artifact digests are recorded; drift, rebuild, or conflict resolution invalidates the gate and triggers re-test and scoped re-review. Release execution is performed by a controlled actor/service separate from Builder and Verifier.","Accepted v1.2 (owner acceptance, trail entry 65)","Added by CP-v1.2-A Revision 2 (verifier 3.6, adopted verbatim)"
APP-10,"Unreviewed branch code, tests, package hooks, workflow files, and browser automation execute only in ephemeral least-privilege review environments with no production credentials or production data, synthetic or temporary fixtures, external writes denied by default, controlled network egress, and tamper-evident action/evidence logging. A disposable Git worktree alone does not satisfy execution isolation.","Accepted v1.2 (owner acceptance, trail entry 65)","Added by CP-v1.2-A Revision 2 (verifier 3.7, adopted verbatim)"
